
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=3, alpha=0.33: 3.01727, time = 1.29466
Average RMSE for r=3, alpha=0.35: 2.38482, time = 1.39983
Average RMSE for r=3, alpha=0.37: 2.2188, time = 1.20464
Average RMSE for r=3, alpha=0.39: 2.49329, time = 1.36056
Average RMSE for r=3, alpha=0.41: 3.22438, time = 1.31069
Average RMSE for r=3, alpha=0.43: 2.50815, time = 1.44614
Average RMSE for r=3, alpha=0.45: 3.18264, time = 1.30672
Average RMSE for r=3, alpha=0.47: 2.56805, time = 1.32027
Average RMSE for r=3, alpha=0.49: 3.21237, time = 1.25062
Average RMSE for r=3, alpha=0.51: 2.5242, time = 1.40334
Average RMSE for r=3.25, alpha=0.15: 2.41692, time = 1.21776
Average RMSE for r=3.25, alpha=0.17: 3.21699, time = 1.12927
Average RMSE for r=3.25, alpha=0.19: 2.86744, time = 1.33064
Average RMSE for r=3.25, alpha=0.21: 3.62979, time = 1.4596
Average RMSE for r=3.25, alpha=0.23: 3.5382, time = 1.37222
Average RMSE for r=3.25, alpha=0.25: 3.29109, time = 1.29911
Average RMSE for r=3.25, alpha=0.27: 3.09001, time = 1.22579
Average RMSE for r=3.25, alpha=0.29: 2.53953, time = 1.14679
Average RMSE for r=3.25, alpha=0.31: 2.4729, time = 1.17594
Average RMSE for r=3.25, alpha=0.33: 2.47214, time = 1.24805
Average RMSE for r=3.25, alpha=0.35: 2.42757, time = 1.32908
Average RMSE for r=3.25, alpha=0.37: 2.37639, time = 1.25594
Average RMSE for r=3.25, alpha=0.39: 3.27749, time = 1.25586
Average RMSE for r=3.25, alpha=0.41: 2.93584, time = 1.33326
Average RMSE for r=3.25, alpha=0.43: 2.62297, time = 1.35074
Average RMSE for r=3.25, alpha=0.45: 2.18558, time = 1.27088
Average RMSE for r=3.25, alpha=0.47: 2.31438, time = 1.40948
Average RMSE for r=3.25, alpha=0.49: 2.80148, time = 1.35538
Average RMSE for r=3.25, alpha=0.51: 3.07781, time = 1.32393
Average RMSE for r=3.5, alpha=0.15: 3.18946, time = 1.30227
Average RMSE for r=3.5, alpha=0.17: 3.83027, time = 1.32571
Average RMSE for r=3.5, alpha=0.19: 2.62209, time = 1.20892
Average RMSE for r=3.5, alpha=0.21: 3.62776, time = 1.13627
Average RMSE for r=3.5, alpha=0.23: 3.72803, time = 1.2495
Average RMSE for r=3.5, alpha=0.25: 2.45033, time = 1.15403
Average RMSE for r=3.5, alpha=0.27: 3.18878, time = 1.36769
Average RMSE for r=3.5, alpha=0.29: 2.85574, time = 1.25909
Average RMSE for r=3.5, alpha=0.31: 2.29114, time = 1.2711
Average RMSE for r=3.5, alpha=0.33: 2.45939, time = 1.31195
Average RMSE for r=3.5, alpha=0.35: 1.89115, time = 1.2934
Average RMSE for r=3.5, alpha=0.37: 2.14421, time = 1.24353
Average RMSE for r=3.5, alpha=0.39: 2.3978, time = 1.42092
Average RMSE for r=3.5, alpha=0.41: 2.29012, time = 1.16983
Average RMSE for r=3.5, alpha=0.43: 2.29687, time = 1.22913
Average RMSE for r=3.5, alpha=0.45: 2.64939, time = 1.29974
Average RMSE for r=3.5, alpha=0.47: 2.14533, time = 1.30102
Average RMSE for r=3.5, alpha=0.49: 2.37909, time = 1.33427
Average RMSE for r=3.5, alpha=0.51: 2.47146, time = 1.29557
Average RMSE for r=3.75, alpha=0.15: 2.41874, time = 1.17987
Average RMSE for r=3.75, alpha=0.17: 3.53658, time = 1.16604
Average RMSE for r=3.75, alpha=0.19: 3.97399, time = 1.26067
Average RMSE for r=3.75, alpha=0.21: 3.02256, time = 1.43923
Average RMSE for r=3.75, alpha=0.23: 2.86027, time = 1.32791
Average RMSE for r=3.75, alpha=0.25: 3.43561, time = 1.31809
Average RMSE for r=3.75, alpha=0.27: 3.46751, time = 1.21988
Average RMSE for r=3.75, alpha=0.29: 2.65781, time = 1.32792
Average RMSE for r=3.75, alpha=0.31: 2.26894, time = 1.1869
Average RMSE for r=3.75, alpha=0.33: 2.94181, time = 1.25877
Average RMSE for r=3.75, alpha=0.35: 3.08936, time = 1.21819
Average RMSE for r=3.75, alpha=0.37: 2.45866, time = 1.3708
Average RMSE for r=3.75, alpha=0.39: 2.08721, time = 1.25852
Average RMSE for r=3.75, alpha=0.41: 2.39923, time = 1.3305
Average RMSE for r=3.75, alpha=0.43: 2.6708, time = 1.1629
Average RMSE for r=3.75, alpha=0.45: 1.80351, time = 1.43102
Average RMSE for r=3.75, alpha=0.47: 2.46181, time = 1.39295
Average RMSE for r=3.75, alpha=0.49: 2.15595, time = 1.35617
Average RMSE for r=3.75, alpha=0.51: 2.19539, time = 1.29571
Average RMSE for r=4, alpha=0.15: 2.33783, time = 1.45058
Average RMSE for r=4, alpha=0.17: 2.94813, time = 1.37834
Average RMSE for r=4, alpha=0.19: 3.00843, time = 1.44562
Average RMSE for r=4, alpha=0.21: 3.3241, time = 1.52821
Average RMSE for r=4, alpha=0.23: 2.43423, time = 1.50363
Average RMSE for r=4, alpha=0.25: 3.06873, time = 1.47016
Average RMSE for r=4, alpha=0.27: 3.16105, time = 1.53315
Average RMSE for r=4, alpha=0.29: 2.50033, time = 1.36478
Average RMSE for r=4, alpha=0.31: 2.6073, time = 1.3941
Average RMSE for r=4, alpha=0.33: 2.26642, time = 1.41957
Average RMSE for r=4, alpha=0.35: 2.66005, time = 1.56583
Average RMSE for r=4, alpha=0.37: 2.02694, time = 1.41641
Average RMSE for r=4, alpha=0.39: 3.27031, time = 1.53529
Average RMSE for r=4, alpha=0.41: 3.10991, time = 1.54438
Average RMSE for r=4, alpha=0.43: 2.3396, time = 1.33182
Average RMSE for r=4, alpha=0.45: 2.25963, time = 1.35787
Average RMSE for r=4, alpha=0.47: 2.24729, time = 1.38605
Average RMSE for r=4, alpha=0.49: 3.23474, time = 1.41787
Average RMSE for r=4, alpha=0.51: 2.56276, time = 1.3299
Average RMSE for r=4.25, alpha=0.15: 3.0854, time = 1.12301
Average RMSE for r=4.25, alpha=0.17: 3.8993, time = 1.32577
Average RMSE for r=4.25, alpha=0.19: 3.52307, time = 1.24699
Average RMSE for r=4.25, alpha=0.21: 3.3093, time = 1.19101
Average RMSE for r=4.25, alpha=0.23: 3.68631, time = 1.20897
Average RMSE for r=4.25, alpha=0.25: 3.10285, time = 1.25791
Average RMSE for r=4.25, alpha=0.27: 3.14854, time = 1.285
Average RMSE for r=4.25, alpha=0.29: 2.6369, time = 1.21723
Average RMSE for r=4.25, alpha=0.31: 2.23121, time = 1.26566
Average RMSE for r=4.25, alpha=0.33: 2.41761, time = 1.14158
Average RMSE for r=4.25, alpha=0.35: 2.43952, time = 1.27947
Average RMSE for r=4.25, alpha=0.37: 3.14367, time = 1.28987
Average RMSE for r=4.25, alpha=0.39: 3.16669, time = 1.39605
Average RMSE for r=4.25, alpha=0.41: 2.1915, time = 1.2228
Average RMSE for r=4.25, alpha=0.43: 2.56056, time = 1.31596
Average RMSE for r=4.25, alpha=0.45: 3.39556, time = 1.4327
Average RMSE for r=4.25, alpha=0.47: 2.75451, time = 1.39116
Average RMSE for r=4.25, alpha=0.49: 2.17359, time = 1.46686
Average RMSE for r=4.25, alpha=0.51: 2.02661, time = 1.24798
Average RMSE for r=4.5, alpha=0.15: 3.55821, time = 1.42843
Average RMSE for r=4.5, alpha=0.17: 3.91107, time = 1.41345
Average RMSE for r=4.5, alpha=0.19: 3.55381, time = 1.3224
Average RMSE for r=4.5, alpha=0.21: 3.72558, time = 1.29001
Average RMSE for r=4.5, alpha=0.23: 2.77189, time = 1.36965
Average RMSE for r=4.5, alpha=0.25: 3.43157, time = 1.25131
Average RMSE for r=4.5, alpha=0.27: 3.36535, time = 1.40077
Average RMSE for r=4.5, alpha=0.29: 2.63814, time = 1.24609
Average RMSE for r=4.5, alpha=0.31: 2.51542, time = 1.38102
Average RMSE for r=4.5, alpha=0.33: 2.87512, time = 1.26665
Average RMSE for r=4.5, alpha=0.35: 2.69747, time = 1.36383
Average RMSE for r=4.5, alpha=0.37: 2.91051, time = 1.29233
Average RMSE for r=4.5, alpha=0.39: 2.60075, time = 1.25587
Average RMSE for r=4.5, alpha=0.41: 2.759, time = 1.35096
Average RMSE for r=4.5, alpha=0.43: 3.12528, time = 1.32484
Average RMSE for r=4.5, alpha=0.45: 2.556, time = 1.29483
Average RMSE for r=4.5, alpha=0.47: 2.19527, time = 1.27576
Average RMSE for r=4.5, alpha=0.49: 3.38451, time = 1.31588
Average RMSE for r=4.5, alpha=0.51: 2.60795, time = 1.4722
Average RMSE for r=4.75, alpha=0.15: 3.02926, time = 1.20287
Average RMSE for r=4.75, alpha=0.17: 4.1777, time = 1.17093
Average RMSE for r=4.75, alpha=0.19: 3.53033, time = 1.23604
Average RMSE for r=4.75, alpha=0.21: 3.92041, time = 1.12861
Average RMSE for r=4.75, alpha=0.23: 2.52403, time = 1.25628
Average RMSE for r=4.75, alpha=0.25: 2.52887, time = 1.19064
Average RMSE for r=4.75, alpha=0.27: 2.58039, time = 1.19813
Average RMSE for r=4.75, alpha=0.29: 2.42264, time = 1.30136
Average RMSE for r=4.75, alpha=0.31: 3.4713, time = 1.28457
Average RMSE for r=4.75, alpha=0.33: 2.66549, time = 1.31135
Average RMSE for r=4.75, alpha=0.35: 3.11715, time = 1.42252
Average RMSE for r=4.75, alpha=0.37: 3.12462, time = 1.30991
Average RMSE for r=4.75, alpha=0.39: 2.31576, time = 1.15112
Average RMSE for r=4.75, alpha=0.41: 2.28026, time = 1.29599
Average RMSE for r=4.75, alpha=0.43: 2.20138, time = 1.15661
Average RMSE for r=4.75, alpha=0.45: 2.92697, time = 1.59712
Average RMSE for r=4.75, alpha=0.47: 3.19873, time = 1.21603
Average RMSE for r=4.75, alpha=0.49: 3.02831, time = 1.32203
Average RMSE for r=4.75, alpha=0.51: 2.34139, time = 1.42793
Average RMSE for r=5, alpha=0.15: 2.68845, time = 1.2412
Average RMSE for r=5, alpha=0.17: 2.6595, time = 1.18266
Average RMSE for r=5, alpha=0.19: 2.88498, time = 1.19088
Average RMSE for r=5, alpha=0.21: 2.43679, time = 1.22529
Average RMSE for r=5, alpha=0.23: 2.94009, time = 1.28626
Average RMSE for r=5, alpha=0.25: 2.342, time = 1.27462
Average RMSE for r=5, alpha=0.27: 2.57032, time = 1.18063
Average RMSE for r=5, alpha=0.29: 2.5941, time = 1.25784
Average RMSE for r=5, alpha=0.31: 2.44838, time = 1.24407
Average RMSE for r=5, alpha=0.33: 2.44508, time = 1.23382
Average RMSE for r=5, alpha=0.35: 3.48561, time = 1.19891
