
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Average RMSE for r=1, alpha=0: 2.81452, time = 2.22229
Average RMSE for r=1.8, alpha=0.01: 2.46967, time = 2.033
Average RMSE for r=1.8, alpha=0.02: 1.25542, time = 1.89301
Average RMSE for r=1.8, alpha=0.03: 0.792563, time = 1.87596
Average RMSE for r=1.8, alpha=0.04: 0.691974, time = 1.89192
Average RMSE for r=1.8, alpha=0.05: 1.05607, time = 1.87895
Average RMSE for r=1.8, alpha=0.06: 0.609794, time = 1.89208
Average RMSE for r=1.8, alpha=0.07: 0.616727, time = 1.87777
Average RMSE for r=1.8, alpha=0.08: 0.588293, time = 1.87897
Average RMSE for r=1.8, alpha=0.09: 0.575657, time = 1.88088
Average RMSE for r=1.8, alpha=0.1: 0.59202, time = 1.87122
Average RMSE for r=1.8, alpha=0.11: 0.641726, time = 1.89102
Average RMSE for r=1.8, alpha=0.12: 0.576965, time = 1.88658
Average RMSE for r=1.8, alpha=0.13: 0.569245, time = 1.88901
Average RMSE for r=1.8, alpha=0.14: 0.577754, time = 1.91677
Average RMSE for r=1.8, alpha=0.15: 0.589553, time = 1.86991
Average RMSE for r=1.8, alpha=0.16: 0.625843, time = 1.85699
Average RMSE for r=1.8, alpha=0.17: 0.573192, time = 1.86202
Average RMSE for r=1.8, alpha=0.18: 0.550761, time = 1.87905
Average RMSE for r=1.8, alpha=0.19: 0.603672, time = 1.88199
Average RMSE for r=1.8, alpha=0.2: 0.558898, time = 1.88602
Average RMSE for r=1.8, alpha=0.21: 0.636454, time = 1.88991
Average RMSE for r=1.8, alpha=0.22: 0.624037, time = 1.89711
Average RMSE for r=1.8, alpha=0.23: 0.571916, time = 1.93208
Average RMSE for r=1.8, alpha=0.24: 0.597664, time = 1.88454
Average RMSE for r=1.8, alpha=0.25: 0.577653, time = 1.89263
Average RMSE for r=1.8, alpha=0.26: 0.613154, time = 1.92045
Average RMSE for r=1.8, alpha=0.27: 0.657892, time = 1.89738
Average RMSE for r=1.8, alpha=0.28: 0.591646, time = 1.86414
Average RMSE for r=1.8, alpha=0.29: 0.651399, time = 1.86576
Average RMSE for r=1.8, alpha=0.3: 0.619771, time = 1.9222
Average RMSE for r=1.8, alpha=0.31: 0.628703, time = 1.88369
Average RMSE for r=1.8, alpha=0.32: 0.654265, time = 1.88794
Average RMSE for r=1.8, alpha=0.33: 0.638646, time = 1.8881
