
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018a (9.4.0.813654) 64-bit (glnxa64)
                             February 23, 2018

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> All warnings have the state 'off'.
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> SqEnKF RMSE for r=5.4, alpha=0.08 is 0.662557
Average RMSE for r=4.5, alpha=0.29: 2.31308, time = 51.0539
Average RMSE for r=4.5, alpha=0.31: 2.14561, time = 57.3024
Average RMSE for r=4.5, alpha=0.33: 2.87752, time = 48.6849
Average RMSE for r=4.5, alpha=0.35: 2.0896, time = 50.6871
Average RMSE for r=4.5, alpha=0.37: 3.51111, time = 51.9039
Average RMSE for r=4.5, alpha=0.39: 2.29533, time = 52.5898
Average RMSE for r=4.5, alpha=0.41: 2.40007, time = 53.7659
Average RMSE for r=4.5, alpha=0.43: 2.35292, time = 51.2944
Average RMSE for r=4.5, alpha=0.45: 2.58949, time = 56.2852
Average RMSE for r=4.5, alpha=0.47: 2.33612, time = 56.5106
Average RMSE for r=4.5, alpha=0.49: 2.26912, time = 56.4229
Average RMSE for r=4.5, alpha=0.51: 3.1869, time = 57.021
Average RMSE for r=5, alpha=0.15: 3.25027, time = 63.5483
Average RMSE for r=5, alpha=0.17: 3.60572, time = 51.1431
Average RMSE for r=5, alpha=0.19: 3.70435, time = 51.5877
Average RMSE for r=5, alpha=0.21: 2.86087, time = 48.4821
Average RMSE for r=5, alpha=0.23: 3.53736, time = 47.4969
Average RMSE for r=5, alpha=0.25: 3.26124, time = 54.1457
Average RMSE for r=5, alpha=0.27: 3.98174, time = 48.4999
Average RMSE for r=5, alpha=0.29: 3.60583, time = 47.3599
Average RMSE for r=5, alpha=0.31: 3.60358, time = 58.0513
Average RMSE for r=5, alpha=0.33: 3.05932, time = 49.1216
Average RMSE for r=5, alpha=0.35: 3.44051, time = 60.1042
Average RMSE for r=5, alpha=0.37: 2.36594, time = 57.3752
Average RMSE for r=5, alpha=0.39: 2.27295, time = 48.712
Average RMSE for r=5, alpha=0.41: 3.27939, time = 52.4034
Average RMSE for r=5, alpha=0.43: 3.6918, time = 57.5841
Average RMSE for r=5, alpha=0.45: 3.19344, time = 51.5162
Average RMSE for r=5, alpha=0.47: 3.23249, time = 51.9053
Average RMSE for r=5, alpha=0.49: 3.8399, time = 60.7755
Average RMSE for r=5, alpha=0.51: 2.68147, time = 59.6208
Average RMSE for r=5.5, alpha=0.15: 3.8255, time = 51.6387
Average RMSE for r=5.5, alpha=0.17: 3.48973, time = 57.1487
Average RMSE for r=5.5, alpha=0.19: 3.57072, time = 56.9784
Average RMSE for r=5.5, alpha=0.21: 2.76498, time = 52.7496
Average RMSE for r=5.5, alpha=0.23: 2.53038, time = 48.4719
Average RMSE for r=5.5, alpha=0.25: 2.81171, time = 49.4183
Average RMSE for r=5.5, alpha=0.27: 2.66444, time = 46.0245
Average RMSE for r=5.5, alpha=0.29: 3.6645, time = 64.2932
Average RMSE for r=5.5, alpha=0.31: 2.67718, time = 56.1004
Average RMSE for r=5.5, alpha=0.33: 2.41783, time = 54.4884
Average RMSE for r=5.5, alpha=0.35: 3.00393, time = 51.3849
Average RMSE for r=5.5, alpha=0.37: 3.41766, time = 50.399
Average RMSE for r=5.5, alpha=0.39: 2.44765, time = 49.5858
Average RMSE for r=5.5, alpha=0.41: 3.20908, time = 50.796
Average RMSE for r=5.5, alpha=0.43: 3.33458, time = 52.2235
Average RMSE for r=5.5, alpha=0.45: 3.43611, time = 52.0954
Average RMSE for r=5.5, alpha=0.47: 2.12059, time = 55.5362
Average RMSE for r=5.5, alpha=0.49: 3.10733, time = 57.9288
Average RMSE for r=5.5, alpha=0.51: 1.95902, time = 54.0765
Average RMSE for r=6, alpha=0.15: 3.33095, time = 46.8191
Average RMSE for r=6, alpha=0.17: 4.06951, time = 48.9229
Average RMSE for r=6, alpha=0.19: 3.95812, time = 47.0191
Average RMSE for r=6, alpha=0.21: 3.40834, time = 49.0553
Average RMSE for r=6, alpha=0.23: 3.52178, time = 52.0634
Average RMSE for r=6, alpha=0.25: 4.29, time = 47.9259
Average RMSE for r=6, alpha=0.27: 3.70529, time = 51.9698
Average RMSE for r=6, alpha=0.29: 2.50253, time = 44.7202
Average RMSE for r=6, alpha=0.31: 2.60533, time = 52.2779
Average RMSE for r=6, alpha=0.33: 2.37406, time = 53.2306
Average RMSE for r=6, alpha=0.35: 2.89576, time = 50.9513
Average RMSE for r=6, alpha=0.37: 3.20048, time = 58.0368
Average RMSE for r=6, alpha=0.39: 3.39243, time = 58.8719
Average RMSE for r=6, alpha=0.41: 3.19566, time = 53.286
Average RMSE for r=6, alpha=0.43: 3.351, time = 55.5958
Average RMSE for r=6, alpha=0.45: 3.17419, time = 48.3771
Average RMSE for r=6, alpha=0.47: 2.29861, time = 53.1058
Average RMSE for r=6, alpha=0.49: 3.02007, time = 49.7592
Average RMSE for r=6, alpha=0.51: 2.7872, time = 55.1448
Average RMSE for r=6.5, alpha=0.15: 3.20699, time = 48.099
Average RMSE for r=6.5, alpha=0.17: 3.70183, time = 43.6529
Average RMSE for r=6.5, alpha=0.19: 4.31506, time = 48.181
Average RMSE for r=6.5, alpha=0.21: 3.0591, time = 46.7818
Average RMSE for r=6.5, alpha=0.23: 4.55291, time = 47.1979
